FirstName	LastName	DateOfBirth	PlaceOfBirth	CountryOfBirth	Title	HealthInsuranceID	HealthInsuranceCardID	Address	PostalCode	FederalState
Allastor	Bump	1992-06-25	Schweinfurt	DE	Mr.	07HG109232	123892428744	Wurststr. 11	82391	BY
Benji	Sunshine	1995-03-16	Bamberg	DE	Little Miss	74KL952136	9876543210	Am Anger 34	96047	BY
Clemens	Happy	1968-07-10	München	DE	Mr.	15MN874296	1230987654	Rosenstraße 10	80331	BY
Gerald	Giggles	1965-01-18	Nürnberg	DE	Little Miss	96FG238741	5432109876	Eichenweg 5	90419	BY
Greta	Grumpy	1993-05-05	Augsburg	DE	Mr.	32ZX691478	6789012345	Ulmer Straße 15	86150	BY
Hannes	Helpful	1990-09-29	Würzburg	DE	Little Miss	58VB741239	123456789	Sanderstraße 22	97070	BY
Thorai	Tickle	1998-02-14	Regensburg	DE	Mr.	81LK369852	4567890123	Donaupark 7	93059	BY
Nathan	Naughty	1991-08-22	Passau	DE	Little Miss	27HJ147896	8901234567	Innstraße 9	94032	BY
Shubh	Strong	1996-06-10	Bayreuth	DE	Mr.	63AS987412	2345678901	Festspielallee 18	95445	BY
Bismuth	Brave	1989-03-04	Ingolstadt	DE	Little Miss	49ZX321658	7890123456	Theresienstraße 29	85049	BY
Xiao	Tall	1994-12-27	Rosenheim	DE	Mr.	71CV654987	3456789012	Max-Josefs-Platz 12	83022	BY
Nuri	Neat	1960-07-16	Bamberg	DE	Little Miss	18BN258963	9012345678	Obere Sandstraße 1	96049	BY
Nestor	Noisy	1970-05-12	München	DE	Mr.	92PL789654	1987654320	Leopoldstraße 40	80802	BY
Bela	Busy	1940-01-09	Nürnberg	DE	Little Miss	55YU123789	5069321478	Wurzelbauerstraße 7	90489	BY
Finja	Funny	1942-10-03	Augsburg	DE	Mr.	38ER456123	2741859630	Karolinenstraße 33	86152	BY
Cesar	Curious	1975-12-23	Würzburg	DE	Little Miss	87UI987654	6309521487	Domerschulstraße 11	97070	BY
Tao	Clever	1997-04-21	Regensburg	DE	Mr.	21LK741852	7418529630	Keplerstraße 5	93047	BY
Suba	Shy	1963-02-19	Passau	DE	Little Miss	69HJ852147	3698521470	Lederergasse 12	94034	BY
Melvin	Mischief	1980-08-07	Bayreuth	DE	Mr.	42AS123789	9874123650	Richard-Wagner-Str. 24	95440	BY
Glitter	Sparkle	1999-11-23	Ingolstadt	DE	Little Miss	76ZX987412	214789365	Harderstraße 45	85051	BY
